순번,시설종류,시설명,지번주소,연장,차로,속도제한,통행구분,보도여부,평균보도폭상행,평균보도폭하행,보도연장상행,보도연장하행,경도,위도
50,유치원(일반),미래유치원,대구 북구 동천동 872,195,4,30,양방,양측,4,4,178,195,35.93315593,128.5569881
51,유치원(일반),미술관유치원,대구 북구 학정동 945-8,175,2,30,양방,없음,0,0,0,0,35.94903872,128.5663112
52,유치원(일반),반디유치원,대구 북구 읍내동 1295-5,161,2,30,양방,없음,0,0,0,0,35.9460993,128.5476914
53,유치원(일반),메이플유치원,대구 북구 태전동 936-1,602,2,30,양방,양측,3,3,484,486,35.93312066,128.5434484
54,유치원(일반),삼성유치원,대구 북구 읍내동 473-1,230,2,30,양방,편측,2,0,192,0,35.94747691,128.553574
55,유치원(일반),새솔유치원,대구 북구 읍내동 1234-7,510,2,30,양방,편측,2,0,471,0,35.94932217,128.5558624
56,유치원(일반),샛별유치원,대구 북구 검단동 1128-3,170,2,30,양방,없음,0,0,0,0,35.91592335,128.6290406
57,유치원(일반),에듀웰유치원,대구 북구 읍내동 1435,84,2,30,양방,없음,0,0,0,0,35.93863727,128.5554815
58,유치원(일반),행복숲유치원,대구 북구 관음동 1370,280,2,30,양방,양측,3,3,272,243,35.93466816,128.5435351
59,유치원(일반),예일유치원,대구 북구 읍내동 1351,172,2,30,양방,양측,2,1.5,53,120,35.94133848,128.5555545
